pic_id,loc_id,lat,lon,fov,heading,tilt,url_pitch,cam_alt
0,0,53.470333,-2.23931063,90,230.9778637,106.0775121,16.0775121,40.94836846
1,1,53.46799905,-2.22865136,90,77.19966767,97.16930574,7.16930574,42.01025129
2,1,53.46808889,-2.22808448,60,265.1626122,90.14285629,0.14285629,42.29558338
3,2,53.46672669,-2.2222631,60,262.0782349,99.59395542,9.59395542,45.88462965
4,2,53.46670188,-2.22272998,60,92.27675867,100.7790999,10.7790999,45.48700714
5,3,53.47403424,-2.2377903,60,334.6292012,100.3264629,10.32646291,35.50357437
6,3,53.47403222,-2.23806666,60,35.40678466,101.9593228,11.95932275,35.702034
7,4,53.47684742,-2.2394158,90,59.81784519,113.2403987,23.24039871,44.24152374
8,4,53.4772247,-2.23911929,60,191.2621492,103.0971702,13.09717019,45.89769363
9,4,53.47673902,-2.23917517,60,23.18292734,107.3062017,17.30620167,44.59510803
10,5,53.47646039,-2.23901505,60,12.79906978,110.4484852,20.44848524,43.56403588
11,5,53.47646039,-2.23901505,60,86.37270944,107.5465999,17.54659987,43.56403588
12,5,53.47646039,-2.23901505,60,191.6737105,107.9807435,17.98074351,43.56403588
13,5,53.47646039,-2.23901505,60,273.2418325,108.9994745,18.99947449,43.56403588
